"","DATE","GEOGRAPHY_NAME","PARTIALLY_OF_FULLY_VACCINATED_PERCENT","FULLY_VACCINATED_PERCENT","POPULATION"
"1","2021-12-02","Delaware","0.73317354102","0.61783655999","973764.00000"
"2","2021-12-02","Arizona","0.64588676823","0.54897751898","7278717.00000"
"4","2021-12-02","Arkansas","0.60684590517","0.49495328391","3017804.00000"
"5","2021-12-02","Alaska","0.63093999686","0.54422079298","731545.00000"
"6","2021-12-02","Colorado","0.71713740654","0.63474363124","5758736.00000"
"7","2021-12-02","Connecticut","0.84381818350","0.72186446701","3565287.00000"
"8","2021-12-02","California","0.79103894003","0.63423361424","39512223.00000"
"9","2021-12-02","Alabama","0.56702245581","0.46267273211","4903185.00000"
"9776","2021-12-02","Florida","0.72020129495","0.61587736175","21477737.00000"
"10075","2021-12-02","Georgia","0.59230436613","0.49743285164","10617423.00000"
"10374","2021-12-02","Idaho","0.50868099370","0.45329632666","1787065.00000"
"10375","2021-12-02","Hawaii","0.82357444741","0.61240069724","1415872.00000"
"10972","2021-12-02","Illinois","0.69133370808","0.61595614395","12671821.00000"
"11271","2021-12-02","Indiana","0.55869632286","0.50725756248","6732219.00000"
"11395","2021-12-02","Kentucky","0.60456103211","0.52313631727","4467673.00000"
"11456","2021-12-02","Kansas","0.66482260409","0.54871805785","2913314.00000"
"11469","2021-12-02","Iowa","0.62790778018","0.56922794106","3155070.00000"
"11573","2021-12-02","Louisiana","0.55773604939","0.49008753668","4648794.00000"
"12468","2021-12-02","Maine","0.82273108706","0.72522117047","1344212.00000"
"12817","2021-12-02","Massachusetts","0.86112084391","0.71442029115","6892503.00000"
"12818","2021-12-02","Maryland","0.77205277157","0.67878369348","6045680.00000"
"13445","2021-12-02","Michigan","0.61412744770","0.54781028706","9986857.00000"
"13962","2021-12-02","Minnesota","0.69233223019","0.62758155142","5639632.00000"
"13990","2021-12-02","Montana","0.60018357414","0.52020718989","1068778.00000"
"14262","2021-12-02","Mississippi","0.54059625375","0.47103891640","2976149.00000"
"14263","2021-12-02","Nebraska","0.64315542533","0.57674492661","1934408.00000"
"14562","2021-12-02","Missouri","0.60013640893","0.51134709849","6137428.00000"
"15429","2021-12-02","Nevada","0.66649351526","0.54683658880","3080156.00000"
"15450","2021-12-02","New Hampshire","0.88208964993","0.64914308997","1359711.00000"
"15604","2021-12-02","New Jersey","0.79438190356","0.68036013641","8882190.00000"
"16354","2021-12-02","New York State","0.78599984856","0.68685728027","19453561.00000"
"16355","2021-12-02","New Mexico","0.76911469653","0.63746066084","2096829.00000"
"16870","2021-12-02","North Carolina","0.70628648665","0.54395798127","10488084.00000"
"17212","2021-12-02","Ohio","0.58606171562","0.53252731177","11689100.00000"
"17252","2021-12-02","North Dakota","0.58198939194","0.48954153337","762062.00000"
"17500","2021-12-02","Oklahoma","0.63078400120","0.51718650453","3956971.00000"
"18148","2021-12-02","Pennsylvania","0.82026863169","0.58689950444","12801989.00000"
"18149","2021-12-02","Oregon","0.71648493019","0.64153312547","4217737.00000"
"18448","2021-12-02","South Dakota","0.67340410260","0.54876737816","884659.00000"
"18449","2021-12-02","South Carolina","0.60458028937","0.51571907082","5148714.00000"
"18450","2021-12-02","Rhode Island","0.83572361074","0.72840608631","1059361.00000"
"19583","2021-12-02","Tennessee","0.57027467744","0.49677618406","6829174.00000"
"19942","2021-12-02","Texas","0.64261803254","0.54869113996","28995881.00000"
"19943","2021-12-02","Utah","0.64859146626","0.55744710317","3205958.00000"
"19944","2021-12-02","Vermont","0.85675067990","0.73079172870","623989.00000"
"20822","2021-12-02","Virginia","0.75822841001","0.65191911587","8535519.00000"
"20840","2021-12-02","Washington","0.73138782121","0.65299604341","7614893.00000"
"21437","2021-12-02","Wisconsin","0.66025857914","0.59717808738","5822434.00000"
"21438","2021-12-02","West Virginia","0.68983403705","0.48930751774","1792147.00000"
"21439","2021-12-02","Wyoming","0.53873028324","0.45743392327","578759.00000"
